Trabajos,Tiempo_s
100,0.000276
100,0.000271
100,0.000268
100,0.000272
100,0.00027
100,0.00027
100,0.000284
100,0.000271
100,0.00027
100,0.00027
100,0.000271
100,0.000271
100,0.000263
100,0.000277
100,0.000267
100,0.000268
100,0.0003
100,0.000269
100,0.000272
100,0.000265
100,0.000264
100,0.000265
100,0.00027
100,0.000267
100,0.000267
100,0.000269
100,0.000266
100,0.000264
100,0.000263
100,0.000281
100,0.000302
100,0.000268
100,0.00027
100,0.000272
100,0.00026
100,0.000265
100,0.000269
100,0.000267
100,0.000268
100,0.000269
100,0.000272
100,0.000271
100,0.000271
100,0.000271
100,0.000301
100,0.000269
100,0.00028
100,0.000267
100,0.000272
100,0.000271
100,0.000268
100,0.000266
100,0.000271
100,0.00026
100,0.000267
100,0.000269
100,0.000268
100,0.000289
100,0.000295
100,0.000268
100,0.000269
100,0.000269
100,0.000284
100,0.000267
100,0.000267
100,0.000272
100,0.000268
100,0.000268
100,0.000265
100,0.00027
100,0.000279
100,0.000294
100,0.000269
100,0.000271
100,0.000269
100,0.00027
100,0.000268
100,0.000271
100,0.000281
100,0.000264
100,0.000277
100,0.000268
100,0.000269
100,0.000266
100,0.000262
100,0.000301
100,0.000269
100,0.000271
100,0.000263
100,0.000269
100,0.00026
100,0.000268
100,0.000262
100,0.000269
100,0.000267
100,0.000266
100,0.000259
100,0.00028
100,0.000267
100,0.000293
