Trabajos,Tiempo_s
10,1.2e-05
10,1.1e-05
10,1.2e-05
10,1.1e-05
10,1e-05
10,1e-05
10,1.1e-05
10,1e-05
10,1.1e-05
10,1.1e-05
15,1.7e-05
15,1.5e-05
15,1.7e-05
15,1.6e-05
15,1.6e-05
15,1.6e-05
15,1.5e-05
15,1.6e-05
15,1.6e-05
15,1.6e-05
20,2.3e-05
20,2.1e-05
20,2.2e-05
20,2.2e-05
20,2.2e-05
20,2.1e-05
20,2.1e-05
20,2.2e-05
20,2.1e-05
20,2.1e-05
25,2.9e-05
25,2.8e-05
25,2.8e-05
25,2.9e-05
25,2.8e-05
25,2.8e-05
25,2.8e-05
25,2.8e-05
25,2.8e-05
25,2.8e-05
30,3.8e-05
30,3.8e-05
30,3.6e-05
30,3.7e-05
30,3.7e-05
30,3.7e-05
30,3.7e-05
30,3.8e-05
30,4.4e-05
30,3.8e-05
35,4.7e-05
35,4.6e-05
35,4.7e-05
35,4.5e-05
35,4.3e-05
35,4.6e-05
35,4.6e-05
35,4.6e-05
35,4.6e-05
35,4.7e-05
40,6.8e-05
40,5.3e-05
40,5.3e-05
40,5.2e-05
40,5.4e-05
40,5.4e-05
40,5.4e-05
40,5.5e-05
40,5.4e-05
40,5.5e-05
45,6.7e-05
45,6.7e-05
45,6.4e-05
45,6.5e-05
45,6.5e-05
45,6.4e-05
45,6.6e-05
45,6.6e-05
45,6.6e-05
45,6.5e-05
50,7.9e-05
50,7.8e-05
50,7.9e-05
50,7.7e-05
50,7.7e-05
50,7.5e-05
50,7.7e-05
50,7.7e-05
50,7.6e-05
50,7.7e-05
55,9.1e-05
55,9.1e-05
55,9.1e-05
55,9.2e-05
55,9e-05
55,9.1e-05
55,9.2e-05
55,9e-05
55,8.9e-05
55,8.9e-05
60,0.000106
60,0.000106
60,0.000138
60,0.000107
60,0.000104
60,0.000106
60,0.000106
60,0.000105
60,0.000105
60,0.000104
65,0.000121
65,0.000118
65,0.000121
65,0.00012
65,0.000122
65,0.000121
65,0.000118
65,0.000122
65,0.000118
65,0.000119
70,0.000139
70,0.000138
70,0.000138
70,0.000138
70,0.000135
70,0.000136
70,0.000135
70,0.000138
70,0.000137
70,0.000139
75,0.00015
75,0.00015
75,0.00019
75,0.000155
75,0.000156
75,0.000154
75,0.000155
75,0.000154
75,0.000153
75,0.000154
80,0.000176
80,0.000173
80,0.000172
80,0.000175
80,0.000171
80,0.000174
80,0.000171
80,0.000175
80,0.000182
80,0.000176
85,0.000191
85,0.000197
85,0.000192
85,0.000193
85,0.000224
85,0.000191
85,0.00019
85,0.000191
85,0.000191
85,0.00019
90,0.000215
90,0.000217
90,0.000215
90,0.000215
90,0.000212
90,0.00021
90,0.000211
90,0.000214
90,0.000214
90,0.000215
95,0.000235
95,0.000239
95,0.000272
95,0.00024
95,0.000237
95,0.000238
95,0.000235
95,0.000236
95,0.000235
95,0.000236
100,0.000261
100,0.000259
100,0.00026
100,0.000261
100,0.000262
100,0.00026
100,0.00026
100,0.000293
100,0.000259
100,0.000256
105,0.000286
105,0.000284
105,0.000281
105,0.000286
105,0.000284
105,0.000284
105,0.000281
105,0.000278
105,0.000286
105,0.00028
110,0.000313
110,0.000337
110,0.000311
110,0.000307
110,0.000313
110,0.000308
110,0.000309
110,0.000313
110,0.000312
110,0.000307
115,0.000339
115,0.000337
115,0.000336
115,0.000375
115,0.000338
115,0.000339
115,0.000339
115,0.000335
115,0.00034
115,0.000336
120,0.000369
120,0.00037
120,0.000361
120,0.00036
120,0.000389
120,0.00037
120,0.000362
120,0.000359
120,0.000359
120,0.000369
125,0.000399
125,0.000397
125,0.000395
125,0.000421
125,0.000427
125,0.000399
125,0.000398
125,0.000397
125,0.000391
125,0.000399
130,0.000428
130,0.00043
130,0.000423
130,0.00046
130,0.000423
130,0.000427
130,0.000427
130,0.000428
130,0.000424
130,0.000429
135,0.000459
135,0.000456
135,0.000491
135,0.000454
135,0.000446
135,0.000461
135,0.000458
135,0.000459
135,0.00046
135,0.00046
140,0.000501
140,0.000486
140,0.000491
140,0.000496
140,0.000496
140,0.000494
140,0.00049
140,0.000489
140,0.000498
140,0.000489
145,0.000523
145,0.000516
145,0.000525
145,0.000513
145,0.000534
145,0.000527
145,0.000525
145,0.000519
145,0.000517
145,0.000532
150,0.00056
150,0.000566
150,0.000563
150,0.000559
150,0.000566
150,0.000566
150,0.000559
150,0.000563
150,0.000557
150,0.000563
155,0.000605
155,0.000606
155,0.000597
155,0.000594
155,0.000593
155,0.000601
155,0.000597
155,0.000598
155,0.000595
155,0.000603
160,0.000633
160,0.000641
160,0.000633
160,0.000626
160,0.000629
160,0.000636
160,0.000628
160,0.000635
160,0.000624
