nodos,ejes,prim,master
4,5,1.4576e-05,7.67e-06
5,9,8.981e-06,5.482e-06
6,14,1.2285e-05,6.468e-06
7,20,1.4702e-05,7.669e-06
8,27,1.5253e-05,7.771e-06
9,35,1.9501e-05,8.312e-06
10,44,2.0312e-05,9.132e-06
11,54,2.7025e-05,1.0139e-05
12,65,3.0642e-05,1.0741e-05
13,77,3.1634e-05,1.2161e-05
14,90,3.9651e-05,1.1865e-05
15,104,4.7331e-05,1.5812e-05
16,119,4.634e-05,1.642e-05
17,135,6.3827e-05,1.8885e-05
18,152,5.8614e-05,2.1735e-05
19,170,6.7339e-05,1.9812e-05
20,189,7.1337e-05,1.9013e-05
21,209,7.505e-05,1.923e-05
22,230,8.4083e-05,1.9461e-05
23,252,9.6589e-05,2.1518e-05
24,275,9.7987e-05,2.0716e-05
25,299,0.000102539,2.1935e-05
26,324,0.000122719,2.256e-05
27,350,0.000130089,2.5648e-05
28,377,0.000125215,2.5082e-05
29,405,0.000134574,2.5792e-05
30,434,0.000138657,2.695e-05
31,464,0.000153537,2.6657e-05
32,495,0.000152839,2.845e-05
33,527,0.000171618,2.7999e-05
34,560,0.000168673,3.0196e-05
35,594,0.000179577,2.9629e-05
36,629,0.000190078,3.3286e-05
37,665,0.000207325,3.0801e-05
38,702,0.000198167,3.5538e-05
39,740,0.000209889,3.3422e-05
40,779,0.000241467,3.452e-05
41,819,0.000224867,3.7194e-05
42,860,0.000266345,3.9159e-05
43,902,0.000273159,3.8839e-05
44,945,0.00026597,3.8551e-05
45,989,0.000295398,4.0367e-05
46,1034,0.000268337,3.8333e-05
47,1080,0.000286742,3.9714e-05
48,1127,0.000308956,4.0282e-05
49,1175,0.000317812,4.4453e-05
50,1224,0.000345494,4.3805e-05
51,1274,0.000336144,4.4741e-05
52,1325,0.000345604,4.3691e-05
53,1377,0.000372012,4.7361e-05
54,1430,0.000393091,4.7498e-05
55,1484,0.000390928,4.883e-05
56,1539,0.000381739,4.8578e-05
57,1595,0.000422795,4.7302e-05
58,1652,0.000425638,4.9641e-05
59,1710,0.000437026,5.051e-05
60,1769,0.000445243,5.2828e-05
61,1829,0.000476447,5.5104e-05
62,1890,0.000491303,5.4944e-05
63,1952,0.000478432,5.3419e-05
64,2015,0.000514342,5.4218e-05
65,2079,0.000510818,5.7644e-05
66,2144,0.000541852,6.1871e-05
67,2210,0.00054365,5.7934e-05
68,2277,0.000565118,5.9384e-05
69,2345,0.000541449,6.182e-05
70,2414,0.000557803,6.1457e-05
71,2484,0.000590927,6.2077e-05
72,2555,0.000631963,6.6638e-05
73,2627,0.000630315,6.2207e-05
74,2700,0.000631052,6.2689e-05
75,2774,0.000638571,6.2492e-05
76,2849,0.000664328,6.7282e-05
77,2925,0.000656097,6.5907e-05
78,3002,0.000715585,6.9474e-05
79,3080,0.000689418,6.8783e-05
80,3159,0.000705918,6.8728e-05
81,3239,0.000732265,7.0198e-05
82,3320,0.000745531,7.3269e-05
83,3402,0.000764957,7.2923e-05
84,3485,0.000765744,7.4387e-05
85,3569,0.000769052,7.2404e-05
86,3654,0.000826358,7.0558e-05
87,3740,0.000818189,7.0096e-05
88,3827,0.000851037,7.048e-05
89,3915,0.000831085,8.1687e-05
90,4004,0.000852553,7.2498e-05
91,4094,0.000899321,7.5643e-05
92,4185,0.000945019,7.6201e-05
93,4277,0.000917756,7.5257e-05
94,4370,0.00100091,7.8176e-05
95,4464,0.000937378,8.2511e-05
96,4559,0.000993434,0.000108334
97,4655,0.00104595,8.132e-05
98,4752,0.00100178,7.9206e-05
99,4850,0.000987441,8.1708e-05
100,4949,0.00106332,8.6111e-05
