nodos,ejes,prim,master
4,3,1.6592e-05,7.841e-06
5,5,6.384e-06,5.501e-06
6,6,6.923e-06,6.319e-06
7,10,9.935e-06,7.131e-06
8,14,1.1587e-05,7.848e-06
9,17,1.3775e-05,8.858e-06
10,20,1.5706e-05,9.195e-06
11,24,1.7007e-05,9.896e-06
12,31,2.5996e-05,1.075e-05
13,34,2.7669e-05,1.1781e-05
14,38,2.6171e-05,1.1528e-05
15,44,3.4182e-05,1.3508e-05
16,52,3.758e-05,1.4414e-05
17,56,3.9119e-05,1.5303e-05
18,63,4.8242e-05,1.5861e-05
19,62,4.9802e-05,1.707e-05
20,71,4.9275e-05,1.6839e-05
21,82,4.9358e-05,1.8266e-05
22,96,6.0478e-05,2.2906e-05
23,106,7.0223e-05,2.3392e-05
24,107,6.8452e-05,2.3633e-05
25,123,8.7298e-05,2.7903e-05
26,127,8.1218e-05,2.5931e-05
27,134,9.0941e-05,2.7183e-05
28,141,8.9005e-05,2.5957e-05
29,159,9.4337e-05,2.7404e-05
30,166,0.000101916,2.842e-05
31,177,0.000107937,3.4516e-05
32,190,0.000121079,2.8576e-05
33,207,0.000112321,2.9529e-05
34,216,0.0001276,3.0225e-05
35,226,0.000133291,3.0032e-05
36,243,0.000136062,3.2887e-05
37,255,0.000161595,3.3179e-05
38,266,0.000155432,3.4952e-05
39,286,0.000169553,3.517e-05
40,278,0.000188095,3.8796e-05
41,306,0.00017323,3.5258e-05
42,317,0.000185803,3.917e-05
43,353,0.000190528,3.6766e-05
44,355,0.00020529,3.9876e-05
45,366,0.000208773,3.9334e-05
46,379,0.000216233,3.9335e-05
47,392,0.00022879,4.2345e-05
48,423,0.000226209,4.0406e-05
49,442,0.000223986,4.3268e-05
50,444,0.00024176,4.4329e-05
51,464,0.000257129,4.5732e-05
52,499,0.000258526,4.4064e-05
53,498,0.000297208,4.709e-05
54,518,0.000282048,4.7977e-05
55,556,0.000281866,4.8338e-05
56,582,0.000302175,4.7587e-05
57,600,0.00029961,4.9945e-05
58,603,0.000314845,4.8919e-05
59,616,0.000332032,5.2068e-05
60,657,0.000334989,5.1949e-05
61,653,0.00033235,5.2792e-05
62,699,0.000354204,6.1202e-05
63,723,0.000382753,5.364e-05
64,735,0.000360109,5.4817e-05
65,757,0.000391098,5.7339e-05
66,791,0.000390827,5.5956e-05
67,836,0.00039222,5.4557e-05
68,841,0.000405921,6.1315e-05
69,883,0.000423353,5.7332e-05
70,889,0.000443921,6.2651e-05
71,908,0.000465843,6.4162e-05
72,957,0.000440592,6.0036e-05
73,945,0.000440586,6.0526e-05
74,985,0.000480051,6.1206e-05
75,1038,0.000498841,6.4753e-05
76,1035,0.000508501,7.1582e-05
77,1080,0.000515982,6.3801e-05
78,1086,0.000510607,6.6688e-05
79,1128,0.000515613,6.6347e-05
80,1146,0.000512928,6.6319e-05
81,1212,0.000564615,7.1807e-05
82,1211,0.00057385,7.0163e-05
83,1247,0.00056467,7.4141e-05
84,1290,0.000592333,7.3278e-05
85,1319,0.000597994,7.222e-05
86,1306,0.000620797,6.9288e-05
87,1359,0.000594579,6.8935e-05
88,1402,0.000631657,7.2357e-05
89,1435,0.000655355,7.3921e-05
90,1457,0.000628813,7.54e-05
91,1484,0.000678502,7.5855e-05
92,1516,0.000691788,8.3217e-05
93,1530,0.000683211,7.7701e-05
94,1588,0.000686493,7.8448e-05
95,1623,0.000725146,8.2306e-05
96,1646,0.00075358,8.0611e-05
97,1696,0.000725574,7.9011e-05
98,1712,0.000749057,8.964e-05
99,1745,0.000762056,8.3871e-05
100,1805,0.000810666,8.2437e-05
101,1841,0.000809968,8.1189e-05
102,1873,0.000801101,9.1428e-05
103,1925,0.000800296,9.2321e-05
104,1916,0.00086339,8.8195e-05
105,1985,0.000862235,8.7987e-05
106,2020,0.00086263,8.6768e-05
107,2061,0.000884764,9.945e-05
108,2100,0.000890245,9.1569e-05
109,2123,0.000909479,9.3521e-05
110,2122,0.000940539,9.3299e-05
111,2206,0.000966184,9.2275e-05
