nodos,ejes,prim,master
4,4,7.468e-06,4.934e-06
5,5,5.021e-06,4.278e-06
6,6,4.151e-06,4.446e-06
7,7,5.466e-06,4.872e-06
8,8,5.683e-06,5.37e-06
9,9,7.488e-06,6.071e-06
10,10,7.293e-06,6.687e-06
11,11,8.808e-06,7.229e-06
12,12,9.044e-06,7.896e-06
13,13,1.0229e-05,8.174e-06
14,14,9.951e-06,8.743e-06
15,15,1.2196e-05,9.565e-06
16,16,1.2556e-05,9.952e-06
17,17,1.4492e-05,1.0581e-05
18,18,1.4369e-05,1.1165e-05
19,19,1.5671e-05,1.1593e-05
20,20,1.6682e-05,1.2506e-05
21,21,1.7718e-05,1.2683e-05
22,22,1.9009e-05,1.3041e-05
23,23,2.1019e-05,1.4489e-05
24,24,2.1045e-05,1.4574e-05
25,25,2.2756e-05,1.455e-05
26,26,2.3862e-05,1.5222e-05
27,27,2.5128e-05,1.6034e-05
28,28,2.7639e-05,1.6479e-05
29,29,2.9832e-05,1.6508e-05
30,30,2.976e-05,1.7391e-05
31,31,3.0112e-05,1.7779e-05
32,32,3.4742e-05,1.8716e-05
33,33,3.5778e-05,1.8489e-05
34,34,3.792e-05,1.9307e-05
35,35,3.7806e-05,1.9691e-05
36,36,5.665e-05,2.1427e-05
37,37,4.2181e-05,2.1031e-05
38,38,4.1315e-05,2.1621e-05
39,39,4.4185e-05,2.2467e-05
40,40,4.9405e-05,2.3016e-05
41,41,4.934e-05,2.3263e-05
42,42,4.951e-05,2.6987e-05
43,43,5.4061e-05,2.6323e-05
44,44,5.3891e-05,2.5784e-05
45,45,5.8662e-05,2.6985e-05
46,46,5.7569e-05,2.6229e-05
47,47,6.3047e-05,2.7693e-05
48,48,6.1104e-05,2.7005e-05
49,49,6.7347e-05,2.7849e-05
50,50,6.6444e-05,2.843e-05
51,51,6.9094e-05,2.8768e-05
52,52,7.0983e-05,3.0999e-05
53,53,7.7209e-05,3.1097e-05
54,54,7.9243e-05,3.2267e-05
55,55,7.9433e-05,3.0817e-05
56,56,8.1488e-05,3.1752e-05
57,57,0.00010202,3.4523e-05
58,58,8.3994e-05,3.2326e-05
