nodos,ejes,prim,master
4,5,6.576e-06,7.464e-06
5,9,3.401e-06,5.292e-06
6,14,3.819e-06,5.988e-06
7,20,4.664e-06,6.963e-06
8,27,5.752e-06,7.495e-06
9,35,7.031e-06,8.56e-06
10,44,8.245e-06,9.855e-06
11,54,1.0185e-05,1.0064e-05
12,65,1.1244e-05,1.1056e-05
13,77,1.2386e-05,1.2108e-05
14,90,2.2593e-05,1.4118e-05
15,104,1.7106e-05,1.3772e-05
16,119,1.8954e-05,1.4111e-05
17,135,2.092e-05,1.5017e-05
18,152,2.317e-05,1.5148e-05
19,170,2.5425e-05,1.5227e-05
20,189,2.8828e-05,1.6511e-05
21,209,2.8937e-05,1.739e-05
22,230,3.4376e-05,1.9006e-05
23,252,3.7326e-05,2.187e-05
24,275,3.9745e-05,2.4761e-05
25,299,4.3104e-05,2.1231e-05
26,324,4.5349e-05,2.4164e-05
27,350,5.0122e-05,2.4753e-05
28,377,5.3422e-05,2.454e-05
29,405,5.8801e-05,2.5367e-05
30,434,6.2005e-05,2.7353e-05
31,464,7.0381e-05,2.7779e-05
32,495,6.9657e-05,2.807e-05
33,527,7.4816e-05,2.7515e-05
34,560,7.8697e-05,2.9776e-05
35,594,8.3432e-05,2.909e-05
36,629,8.5518e-05,3.1734e-05
37,665,9.0536e-05,3.1029e-05
38,702,9.7735e-05,3.2469e-05
39,740,0.000102192,3.3451e-05
40,779,0.000106106,3.3344e-05
41,819,0.00011157,3.4721e-05
42,860,0.000117824,3.4952e-05
43,902,0.000121809,3.608e-05
44,945,0.000128985,3.6415e-05
45,989,0.00013358,3.8344e-05
46,1034,0.0001406,3.6217e-05
47,1080,0.000146549,4.0908e-05
48,1127,0.000158099,4.0536e-05
49,1175,0.000155455,3.9399e-05
50,1224,0.000165223,4.2083e-05
51,1274,0.000170268,4.2753e-05
52,1325,0.000176935,4.3199e-05
53,1377,0.000184429,4.4595e-05
54,1430,0.000189452,4.3468e-05
55,1484,0.000195361,4.765e-05
56,1539,0.000206557,4.6976e-05
57,1595,0.000213449,4.6017e-05
58,1652,0.000217071,4.7154e-05
59,1710,0.000225972,5.012e-05
60,1769,0.00023344,4.8298e-05
61,1829,0.000241579,4.956e-05
62,1890,0.000254399,5.1252e-05
63,1952,0.000260911,5.193e-05
64,2015,0.000266217,5.009e-05
65,2079,0.00027201,5.3899e-05
66,2144,0.000279488,5.4388e-05
67,2210,0.000291512,5.4317e-05
68,2277,0.000302579,5.6412e-05
69,2345,0.000307264,5.7148e-05
70,2414,0.000317053,5.493e-05
71,2484,0.000325031,6.2967e-05
72,2555,0.000333312,5.6097e-05
73,2627,0.000341678,5.7658e-05
74,2700,0.000353959,6.2377e-05
75,2774,0.000364555,6.3293e-05
76,2849,0.000366454,6.1041e-05
77,2925,0.00038083,6.394e-05
78,3002,0.00038972,6.3868e-05
79,3080,0.000409003,6.6218e-05
80,3159,0.000405489,6.6946e-05
81,3239,0.000414708,6.6322e-05
82,3320,0.000429159,6.7201e-05
83,3402,0.000441815,6.9257e-05
84,3485,0.000453005,6.6711e-05
85,3569,0.000457774,6.7229e-05
86,3654,0.000480291,7.3752e-05
87,3740,0.00048114,6.7615e-05
88,3827,0.000494233,7.0153e-05
89,3915,0.000505753,7.1654e-05
90,4004,0.000516498,7.2781e-05
91,4094,0.00052952,7.7375e-05
92,4185,0.000409661,5.7732e-05
93,4277,0.000416984,5.5913e-05
94,4370,0.000426165,5.7163e-05
95,4464,0.00043466,5.8165e-05
96,4559,0.000445683,6.0998e-05
97,4655,0.000451801,6.0567e-05
98,4752,0.000486752,5.8902e-05
99,4850,0.000471844,6.1777e-05
100,4949,0.000481135,6.069e-05
101,5049,0.00048847,6.3821e-05
102,5150,0.000500144,6.139e-05
103,5252,0.000510869,6.3581e-05
104,5355,0.000524815,6.3706e-05
105,5459,0.000527482,6.5087e-05
106,5564,0.000538966,6.7098e-05
107,5670,0.000549339,6.4568e-05
108,5777,0.000559867,6.5826e-05
109,5885,0.000573631,6.9259e-05
110,5994,0.000580805,7.0356e-05
111,6104,0.000591806,6.8452e-05
112,6215,0.000602314,6.8794e-05
113,6327,0.000614004,6.8468e-05
114,6440,0.000622929,6.9602e-05
115,6554,0.000634488,7.0647e-05
116,6669,0.00065069,6.9165e-05
117,6785,0.000656854,7.2894e-05
118,6902,0.000664852,6.9818e-05
119,7020,0.000682761,7.5647e-05
120,7139,0.0006882,7.26e-05
121,7259,0.000700384,7.6091e-05
122,7380,0.000714055,7.3352e-05
123,7502,0.000728934,7.8736e-05
124,7625,0.000734482,7.5583e-05
125,7749,0.000751576,7.7717e-05
126,7874,0.000756874,7.9647e-05
127,8000,0.000779743,7.9213e-05
128,8127,0.000782972,7.558e-05
129,8255,0.00079832,8.0626e-05
130,8384,0.000811731,8.0387e-05
131,8514,0.000939958,0.000108291
132,8645,0.00110259,0.00010474
133,8777,0.00112148,0.00010585
134,8910,0.00114688,0.000108924
135,9044,0.00114802,0.000108553
136,9179,0.0011714,0.000111029
137,9315,0.00118224,0.000112089
138,9452,0.00120413,0.000108794
139,9590,0.00122631,0.000109059
140,9729,0.00124237,0.000118278
141,9869,0.00126095,0.000115283
142,10010,0.00127004,0.000112826
143,10152,0.00129052,0.000116904
144,10295,0.00131093,0.000117776
145,10439,0.00133026,0.000118012
146,10584,0.0013555,0.000117031
147,10730,0.00136343,0.000120984
148,10877,0.0012796,9.2509e-05
149,11025,0.00105485,8.7534e-05
150,11174,0.0010775,9.5868e-05
151,11324,0.00109359,9.7133e-05
152,11475,0.00109933,9.3309e-05
153,11627,0.00111651,9.4455e-05
154,11780,0.0011336,9.1068e-05
155,11934,0.00114622,9.3193e-05
156,12089,0.00117424,9.1585e-05
157,12245,0.00117406,9.7915e-05
158,12402,0.00119679,9.7071e-05
159,12560,0.00121272,9.3232e-05
160,12719,0.00122125,9.73e-05
161,12879,0.00124367,9.8877e-05
162,13040,0.00125127,9.9583e-05
163,13202,0.00126515,0.000103235
164,13365,0.00128529,9.9971e-05
165,13529,0.00130018,0.000105215
166,13694,0.00132021,0.000103375
167,13860,0.00133344,0.000102515
168,14027,0.00134643,0.000113466
169,14195,0.00180072,0.000141654
170,14364,0.00183388,0.000135261
171,14534,0.00183495,0.00013152
172,14705,0.00186984,0.000136172
173,14877,0.00187906,0.000146419
174,15050,0.00190203,0.000133974
175,15224,0.00193392,0.000142915
176,15399,0.00195151,0.000146751
177,15575,0.00197714,0.000151299
178,15752,0.00200003,0.000143102
179,15930,0.00202076,0.000136177
180,16109,0.00154119,0.0001122
181,16289,0.00155773,0.000110703
182,16470,0.00157186,0.000109882
183,16652,0.00159315,0.000108502
184,16835,0.0016098,0.000114363
185,17019,0.00163628,0.00014181
186,17204,0.00164332,0.000112591
187,17390,0.0016688,0.000113593
188,17577,0.00168087,0.000112846
189,17765,0.00170634,0.000114886
190,17954,0.0017185,0.000108753
191,18144,0.00173952,0.000118683
192,18335,0.0017631,0.000115059
193,18527,0.00177449,0.000108356
194,18720,0.00179126,0.000148544
195,18914,0.00238724,0.000146379
196,19109,0.00243125,0.000156033
197,19305,0.00242991,0.000160929
198,19502,0.00248099,0.000157512
199,19700,0.00248469,0.000165263
200,19899,0.00249907,0.000157337
201,20099,0.00254653,0.000165654
202,20300,0.00257128,0.000163015
203,20502,0.00234125,0.000121451
204,20705,0.00196784,0.000118892
205,20909,0.00199724,0.000123878
206,21114,0.00201437,0.000127193
