nodos,ejes,prim,master
4,3,3.042e-06,5.162e-06
5,5,2.716e-06,4.456e-06
6,7,3.161e-06,4.364e-06
7,10,3.91e-06,5.375e-06
8,14,4.446e-06,5.868e-06
9,15,5.348e-06,6.303e-06
10,20,6.215e-06,6.807e-06
11,22,7.261e-06,8.215e-06
12,29,8.541e-06,8.326e-06
13,31,1.0175e-05,8.909e-06
14,38,1.149e-05,9.153e-06
15,42,1.3046e-05,1.0246e-05
16,53,1.4958e-05,1.0498e-05
17,59,1.6751e-05,1.1527e-05
18,58,1.8005e-05,1.1863e-05
19,66,1.9259e-05,1.2091e-05
20,76,2.1358e-05,1.3703e-05
21,82,2.4768e-05,1.3695e-05
22,95,2.5578e-05,1.5581e-05
23,100,2.8796e-05,1.7527e-05
24,105,3.1139e-05,1.5694e-05
25,115,3.3629e-05,1.7309e-05
26,121,3.6211e-05,1.9342e-05
27,128,3.7706e-05,1.8236e-05
28,145,4.1723e-05,1.9754e-05
29,156,4.4489e-05,1.8984e-05
30,173,4.705e-05,1.9101e-05
31,176,5.031e-05,1.9477e-05
32,181,5.3585e-05,2.0656e-05
33,200,5.514e-05,2.1177e-05
34,218,5.8539e-05,2.256e-05
35,238,6.1951e-05,2.2933e-05
36,246,6.7223e-05,2.4923e-05
37,250,7.0258e-05,2.3815e-05
38,255,8.0358e-05,2.614e-05
39,278,8.2436e-05,3.0026e-05
40,300,8.6049e-05,3.1797e-05
41,308,8.8528e-05,2.8355e-05
42,318,9.0604e-05,3.5353e-05
43,353,9.4646e-05,2.781e-05
44,358,9.7456e-05,2.8749e-05
45,359,0.000101572,2.8382e-05
46,382,0.000105267,3.0166e-05
47,412,0.000111059,3.0727e-05
48,425,0.00011497,2.8486e-05
49,438,0.000131149,3.1975e-05
50,450,0.000124036,3.0755e-05
51,477,0.000128446,3.2871e-05
52,496,0.000133477,3.3147e-05
53,504,0.000138745,3.3837e-05
54,533,0.000144361,3.4054e-05
55,553,0.000148307,3.5375e-05
56,565,0.000154176,3.5952e-05
57,590,0.000159357,3.4167e-05
58,600,0.00016479,3.6409e-05
59,640,0.000169805,3.5508e-05
60,663,0.000176133,3.9072e-05
61,663,0.000181578,3.7714e-05
62,714,0.000191556,3.6202e-05
63,723,0.000195001,3.8832e-05
64,748,0.000200201,3.7839e-05
65,753,0.000207056,4.099e-05
66,789,0.000215364,4.2076e-05
67,841,0.000221507,4.4285e-05
68,810,0.000227785,4.2277e-05
69,885,0.000235036,4.5361e-05
70,890,0.00023919,4.2923e-05
71,902,0.000244138,4.4623e-05
72,916,0.000253461,4.6299e-05
73,971,0.000260903,4.4025e-05
74,1001,0.000273104,4.4754e-05
75,1012,0.000275459,4.5736e-05
76,1047,0.000280313,4.5149e-05
77,1071,0.000286409,5.0314e-05
78,1094,0.000296357,4.9341e-05
79,1132,0.00030203,5.001e-05
80,1171,0.0003098,4.855e-05
81,1194,0.000317889,5.3166e-05
82,1232,0.000337047,5.4258e-05
83,1244,0.000338555,4.9258e-05
84,1293,0.000340752,5.2852e-05
85,1299,0.000348293,4.9801e-05
86,1330,0.000357075,5.0517e-05
87,1362,0.000363809,5.5519e-05
88,1386,0.000372285,5.6158e-05
89,1380,0.000378823,5.5054e-05
90,1448,0.00038972,5.7039e-05
91,1464,0.000400251,5.2086e-05
92,1482,0.000406694,5.2737e-05
93,1542,0.000415702,5.7207e-05
94,1556,0.000422409,5.8122e-05
95,1627,0.000432985,5.485e-05
96,1645,0.000442018,5.7909e-05
97,1676,0.000452085,5.7802e-05
98,1731,0.000463601,5.9175e-05
99,1736,0.000469984,6.1539e-05
100,1761,0.000482799,6.2212e-05
101,1838,0.000489316,6.0185e-05
102,1870,0.000498897,6.4736e-05
103,1908,0.000507368,6.3905e-05
104,1932,0.000521344,6.4864e-05
105,1968,0.000528079,6.5434e-05
106,1984,0.000537397,6.4362e-05
107,2020,0.000546329,6.6667e-05
108,2103,0.000558701,6.3408e-05
109,2104,0.000571456,6.7873e-05
110,2182,0.000577411,6.7118e-05
111,2201,0.000589717,6.5785e-05
112,2250,0.000599024,6.8407e-05
113,2279,0.000610012,6.417e-05
114,2366,0.000623037,7.1015e-05
115,2374,0.000631303,7.1574e-05
116,2423,0.000830725,8.8428e-05
117,2435,0.000654404,7.328e-05
118,2500,0.000696135,7.6634e-05
119,2545,0.000679886,7.4348e-05
120,2587,0.000692452,8.0087e-05
