nodos,ejes,prim,master
4,4,3.622e-06,5.966e-06
5,5,2.545e-06,4.378e-06
6,6,2.961e-06,4.935e-06
7,7,3.56e-06,5.305e-06
8,8,4.651e-06,6.015e-06
9,9,5.099e-06,6.563e-06
10,10,5.925e-06,6.824e-06
11,11,7.16e-06,7.669e-06
12,12,7.994e-06,8.074e-06
13,13,9.314e-06,8.855e-06
14,14,1.051e-05,9.254e-06
15,15,1.1875e-05,1.8295e-05
16,16,1.3929e-05,1.0661e-05
17,17,1.4647e-05,1.0931e-05
18,18,1.6303e-05,1.1829e-05
19,19,1.7802e-05,1.2313e-05
20,20,1.9655e-05,1.3216e-05
21,21,2.1873e-05,1.3542e-05
22,22,4.3853e-05,1.5867e-05
23,23,3.0606e-05,1.5043e-05
24,24,3.484e-05,1.5791e-05
25,25,3.0601e-05,1.5651e-05
26,26,4.6237e-05,1.6197e-05
27,27,3.4564e-05,1.6902e-05
28,28,3.6586e-05,1.6905e-05
29,29,3.9006e-05,1.7498e-05
30,30,4.2779e-05,1.8143e-05
31,31,4.5099e-05,1.9272e-05
32,32,4.9206e-05,2.0671e-05
33,33,5.7627e-05,1.9448e-05
34,34,5.3178e-05,2.0537e-05
35,35,5.6722e-05,3.3395e-05
36,36,6.5239e-05,2.2726e-05
37,37,6.397e-05,2.2239e-05
38,38,8.3308e-05,2.3533e-05
39,39,6.9714e-05,2.345e-05
40,40,8.6173e-05,2.5188e-05
41,41,7.738e-05,2.4189e-05
42,42,9.8618e-05,3.3614e-05
43,43,8.5977e-05,3.9978e-05
44,44,8.9954e-05,2.7287e-05
45,45,0.000117409,3.741e-05
46,46,0.000102317,4.1514e-05
47,47,0.000101263,2.8682e-05
48,48,0.000116838,2.9569e-05
49,49,0.000110237,4.0691e-05
50,50,0.000115517,3.041e-05
51,51,0.000128497,3.1182e-05
52,52,0.000137603,3.1982e-05
53,53,0.000131416,3.2045e-05
54,54,0.000131884,3.1745e-05
55,55,0.000140493,3.2572e-05
56,56,0.000142284,3.3351e-05
57,57,0.000147096,3.4117e-05
58,58,0.00015113,4.4626e-05
59,59,0.000157494,4.6074e-05
60,60,0.000162264,4.507e-05
61,61,0.000168662,4.6411e-05
62,62,0.000174799,4.8191e-05
63,63,0.000189515,3.9316e-05
64,64,0.00019593,3.8511e-05
65,65,0.000203509,3.9595e-05
66,66,0.000207521,3.9848e-05
67,67,0.000215439,3.9711e-05
68,68,0.000217117,4.1785e-05
69,69,0.000227959,4.2137e-05
70,70,0.000236574,4.0883e-05
71,71,0.00023539,4.3011e-05
72,72,0.00023323,4.2465e-05
73,73,0.000239472,4.2527e-05
74,74,0.000245717,4.3917e-05
75,75,0.00025266,4.445e-05
76,76,0.000259239,4.4936e-05
77,77,0.000264893,4.5776e-05
78,78,0.000272473,4.6072e-05
79,79,0.000279847,4.5463e-05
80,80,0.000287767,4.4789e-05
81,81,0.000305485,4.8597e-05
82,82,0.000310447,4.9056e-05
83,83,0.000322534,4.8869e-05
84,84,0.000325701,5.0666e-05
85,85,0.000343409,5.2305e-05
86,86,0.000353149,4.9595e-05
87,87,0.000359369,4.9997e-05
88,88,0.000366098,5.1307e-05
89,89,0.000380217,5.2438e-05
90,90,0.00038135,5.2279e-05
91,91,0.000390841,5.3026e-05
92,92,0.000389718,5.3304e-05
93,93,0.000397164,6.2021e-05
94,94,0.000415161,5.4024e-05
95,95,0.000425325,5.4252e-05
96,96,0.000421705,6.9881e-05
97,97,0.000440533,5.5547e-05
98,98,0.000448063,6.272e-05
99,99,0.000462314,5.6834e-05
100,100,0.00046341,6.7492e-05
101,101,0.000480536,5.6253e-05
102,102,0.000485821,5.8648e-05
103,103,0.00049876,7.0197e-05
104,104,0.00050038,5.9112e-05
105,105,0.0005138,6.0485e-05
106,106,0.000521105,5.9937e-05
107,107,0.000540332,6.0305e-05
108,108,0.000558593,6.0989e-05
109,109,0.000557995,6.22e-05
110,110,0.000563394,6.2343e-05
111,111,0.000576733,6.3121e-05
112,112,0.000577062,6.4121e-05
113,113,0.000588184,6.4669e-05
114,114,0.000588327,7.1743e-05
115,115,0.000608888,6.4778e-05
116,116,0.000612376,6.5965e-05
117,117,0.000618264,6.6656e-05
118,118,0.000633677,6.6208e-05
119,119,0.000647539,6.7095e-05
120,120,0.000650625,6.6574e-05
121,121,0.000662938,6.8074e-05
122,122,0.00067349,6.9488e-05
123,123,0.000680377,7.5038e-05
124,124,0.000697397,6.9683e-05
125,125,0.000705079,7.122e-05
126,126,0.000719295,7.1616e-05
127,127,0.000716735,7.0903e-05
128,128,0.000738769,7.2566e-05
129,129,0.000755269,7.6324e-05
130,130,0.000815493,8.5287e-05
131,131,0.000800188,7.4027e-05
132,132,0.0007814,8.4677e-05
133,133,0.000780385,8.6269e-05
134,134,0.000822674,7.8267e-05
135,135,0.000828533,8.5396e-05
136,136,0.00084866,7.8545e-05
